               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.012967,            0.012753,                   0,              0.9954,             0.99878,             0.99499,             0.88277,             0.01111,            0.011249,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.013211,            0.013273,                   0,             0.99769,             0.99721,             0.99494,             0.88124,            0.011191,            0.011297,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.013128,            0.013378,                   0,             0.99672,             0.99769,             0.99498,             0.88246,            0.011119,            0.011275,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.012905,            0.013467,                   0,             0.99666,             0.99885,             0.99499,             0.88363,            0.011031,            0.011235,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.012757,            0.013507,                   0,             0.99751,             0.99885,             0.99498,             0.88079,            0.011269,            0.011307,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.013276,            0.013478,                   0,              0.9975,             0.99769,               0.995,             0.88045,            0.010938,            0.011081,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.012779,            0.013112,                   0,             0.99733,             0.99769,               0.995,             0.88582,            0.010788,            0.010929,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.012737,            0.012878,                   0,             0.99742,             0.99885,             0.99498,             0.88529,            0.010794,            0.010845,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.012704,            0.012728,                   0,             0.99769,             0.99876,               0.995,             0.88211,            0.011169,            0.011162,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.012554,            0.012402,                   0,             0.99769,             0.99852,             0.99499,             0.88408,            0.010947,               0.011,                   0,            0.000298,            0.000298,            0.000298
