               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.016687,            0.014225,                   0,             0.99848,             0.99885,             0.99499,             0.86283,            0.011816,            0.011272,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.016262,            0.013997,                   0,             0.99859,             0.99885,             0.99498,             0.85865,            0.012146,            0.011506,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.015389,            0.013834,                   0,             0.99871,             0.99885,               0.995,              0.8792,             0.01151,            0.011111,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.015465,            0.013172,                   0,             0.99872,             0.99885,             0.99497,              0.8649,             0.01186,            0.011016,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.015609,            0.013709,                   0,             0.99855,             0.99885,               0.995,             0.87288,            0.011681,             0.01093,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.014946,              0.0135,                   0,             0.99931,             0.99885,               0.995,             0.87685,            0.011089,            0.010806,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.015344,            0.013327,                   0,             0.99858,             0.99885,               0.995,               0.866,            0.011665,            0.011121,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.015046,            0.013277,                   0,             0.99652,             0.99885,               0.995,             0.87491,            0.011514,            0.010919,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.015207,            0.013715,                   0,             0.99968,             0.99885,               0.995,             0.88921,            0.010351,            0.010418,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.014431,            0.013009,                   0,             0.99941,             0.99885,               0.995,             0.88447,            0.010926,            0.010625,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.014245,            0.012948,                   0,             0.99945,             0.99885,               0.995,             0.87172,            0.011502,            0.010614,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.014468,            0.012585,                   0,             0.99977,             0.99885,               0.995,             0.88526,            0.010562,            0.010219,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.014016,            0.012873,                   0,             0.99923,             0.99885,               0.995,              0.8885,             0.01046,            0.010438,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.013845,            0.012949,                   0,             0.99858,             0.99885,               0.995,             0.88795,            0.010092,            0.010148,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.013111,            0.012176,                   0,             0.99945,             0.99885,               0.995,             0.89269,            0.010173,            0.010083,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.013568,            0.012669,                   0,             0.99998,             0.99885,               0.995,             0.89539,            0.010107,            0.010066,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.013516,            0.012126,                   0,             0.99874,             0.99885,               0.995,             0.89774,           0.0099375,           0.0099595,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.013049,            0.012341,                   0,             0.99751,             0.99885,               0.995,             0.88827,            0.010562,            0.010361,                   0,            0.003268,            0.003268,            0.003268
                  70,             0.01267,            0.011642,                   0,             0.99868,             0.99885,               0.995,             0.90209,           0.0093675,           0.0094697,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.012821,            0.012289,                   0,             0.99961,             0.99885,               0.995,             0.90336,           0.0099353,           0.0099847,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.012541,            0.011534,                   0,             0.99955,             0.99885,               0.995,             0.90307,           0.0093177,           0.0097597,                   0,            0.002971,            0.002971,            0.002971
                  73,             0.01181,            0.011135,                   0,              0.9996,             0.99885,               0.995,             0.90621,           0.0094997,           0.0096047,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.012243,            0.011867,                   0,             0.99881,             0.99885,               0.995,             0.90469,           0.0096338,           0.0096198,                   0,            0.002773,            0.002773,            0.002773
                  75,             0.01157,            0.011677,                   0,             0.99914,             0.99885,               0.995,             0.90498,           0.0095504,             0.00951,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.011893,            0.011581,                   0,             0.99883,             0.99885,               0.995,             0.91112,           0.0089354,           0.0093091,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.011202,            0.010812,                   0,             0.99966,             0.99885,               0.995,             0.90921,           0.0092652,            0.009408,                   0,            0.002476,            0.002476,            0.002476
