               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,             0.01459,           0.0092371,                   0,             0.99768,             0.99275,               0.995,             0.84174,            0.013207,           0.0084388,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.014341,             0.00932,                   0,             0.99794,             0.99654,             0.99499,             0.84645,            0.012843,           0.0083995,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.014571,           0.0095896,                   0,             0.99885,             0.99867,             0.99499,             0.84415,            0.013394,           0.0086334,                   0,            0.002773,            0.002773,            0.002773
                  75,             0.01435,           0.0095901,                   0,             0.99516,             0.99885,             0.99499,             0.83997,            0.013553,           0.0086665,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.014528,           0.0094971,                   0,             0.99539,             0.99764,               0.995,             0.84623,            0.013011,            0.008491,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.013437,           0.0089021,                   0,             0.99336,                   1,               0.995,             0.84432,            0.013079,           0.0083576,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.013745,            0.009572,                   0,              0.9971,             0.99538,             0.99499,             0.84415,            0.013412,           0.0087103,                   0,            0.002377,            0.002377,            0.002377
                  79,             0.01353,           0.0092486,                   0,             0.99425,             0.99826,             0.99499,             0.85222,            0.012484,           0.0082629,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.013262,           0.0092391,                   0,             0.99627,             0.99538,             0.99499,             0.84803,            0.012813,           0.0084456,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.013159,            0.008986,                   0,             0.99857,             0.99423,               0.995,             0.85283,            0.012544,           0.0082665,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.012812,           0.0089684,                   0,             0.99768,             0.99516,               0.995,             0.84968,            0.012594,           0.0085183,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.012776,           0.0088659,                   0,             0.99749,             0.99654,               0.995,             0.85176,            0.012893,           0.0085081,                   0,            0.001882,            0.001882,            0.001882
                  84,             0.01288,           0.0086764,                   0,             0.99884,             0.99473,               0.995,             0.85921,            0.012123,            0.008254,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.012337,           0.0087649,                   0,             0.99769,             0.99846,               0.995,             0.85446,            0.012478,           0.0083726,                   0,            0.001684,            0.001684,            0.001684
                  86,             0.01226,           0.0085935,                   0,             0.99651,             0.99885,               0.995,             0.85945,            0.012228,           0.0083007,                   0,            0.001585,            0.001585,            0.001585
                  87,             0.01177,           0.0085247,                   0,             0.99769,             0.99961,             0.99499,             0.86255,            0.011834,           0.0079665,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.011856,           0.0080259,                   0,             0.99885,             0.99865,             0.99499,              0.8601,            0.011882,           0.0079502,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.011907,           0.0083783,                   0,             0.99769,             0.99762,               0.995,             0.86607,            0.011726,           0.0079885,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.011654,            0.008173,                   0,             0.99752,             0.99654,               0.995,             0.85817,            0.012028,           0.0081377,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.011518,           0.0082881,                   0,             0.99885,             0.99863,             0.99499,             0.86825,            0.011543,           0.0078287,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.011396,           0.0083108,                   0,             0.99787,             0.99538,               0.995,             0.86478,            0.011562,           0.0080743,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.011202,           0.0084925,                   0,             0.99769,             0.99877,             0.99499,             0.86607,            0.011609,           0.0080513,                   0,            0.000892,            0.000892,            0.000892
                  94,             0.01133,           0.0084562,                   0,             0.99748,             0.99769,             0.99499,             0.86046,            0.011864,           0.0080951,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.011401,           0.0083432,                   0,             0.99884,             0.99752,             0.99499,             0.86653,            0.011576,           0.0079833,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.011119,           0.0080332,                   0,             0.99769,             0.99746,             0.99499,             0.86737,            0.011523,            0.007897,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.010842,           0.0080769,                   0,             0.99558,             0.99885,               0.995,             0.87049,            0.011223,            0.007834,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.010902,           0.0078694,                   0,             0.99835,             0.99538,             0.99499,             0.86643,            0.011443,           0.0079149,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.010543,            0.007764,                   0,             0.99769,             0.99745,             0.99499,             0.86925,            0.011361,           0.0078627,                   0,            0.000298,            0.000298,            0.000298
